transaction_id,user_id,account_id,merchant_name,amount,date,category,transaction_type,is_subscription,is_income
USR0001_INC_1_001,USR0001,USR0001_CHK,Upwork Payouts,4656.64,2025-07-08,Income > Payroll,credit,False,True
USR0001_SUB_1_01,USR0001,USR0001_CRD,Peloton,-278.56,2025-07-11,Sports and Fitness > Gym,debit,True,False
USR0001_SUB_1_02,USR0001,USR0001_CRD,iCloud Storage,-74.28,2025-07-11,Utilities > Internet,debit,True,False
USR0001_EXP_1_001,USR0001,USR0001_CHK,Target,-740.81,2025-07-16,Shops > Retail,debit,False,False
USR0001_EXP_1_002,USR0001,USR0001_CHK,Lyft,-254.83,2025-07-02,Travel > Ride Share,debit,False,False
USR0001_EXP_1_003,USR0001,USR0001_CRD,Lyft,-217.86,2025-07-16,Travel > Ride Share,debit,False,False
USR0001_EXP_1_004,USR0001,USR0001_CRD,Equinox,-1864.59,2025-06-25,Sports and Fitness > Gym,debit,False,False
USR0001_EXP_1_005,USR0001,USR0001_CRD,Equinox,-1877.76,2025-06-30,Sports and Fitness > Gym,debit,False,False
USR0001_INT_1_009,USR0001,USR0001_CRD,Card APR Charge,-159.01,2025-06-23,Finance > Interest,debit,False,False
USR0001_INC_2_010,USR0001,USR0001_CHK,AngelList Advisory,5535.42,2025-07-24,Income > Payroll,credit,False,True
USR0001_SUB_2_01,USR0001,USR0001_CRD,Peloton,-278.56,2025-08-08,Sports and Fitness > Gym,debit,True,False
USR0001_SUB_2_02,USR0001,USR0001_CRD,iCloud Storage,-74.28,2025-08-08,Utilities > Internet,debit,True,False
USR0001_EXP_2_001,USR0001,USR0001_CRD,Comcast,-578.97,2025-07-29,Utilities > Cable,debit,False,False
USR0001_EXP_2_002,USR0001,USR0001_CRD,Wayfair,-1371.94,2025-08-05,Home > Furniture,debit,False,False
USR0001_EXP_2_003,USR0001,USR0001_CRD,Comcast,-643.18,2025-08-02,Utilities > Cable,debit,False,False
USR0001_EXP_2_004,USR0001,USR0001_CHK,Target,-386.55,2025-08-13,Shops > Retail,debit,False,False
USR0001_EXP_2_005,USR0001,USR0001_CHK,Lyft,-134.42,2025-08-10,Travel > Ride Share,debit,False,False
USR0001_EXP_2_006,USR0001,USR0001_CRD,Whole Foods,-692.51,2025-07-29,Food and Drink > Groceries,debit,False,False
USR0001_EXP_2_007,USR0001,USR0001_CRD,Delta Airlines,-1367.66,2025-08-11,Travel > Airlines,debit,False,False
USR0001_INT_2_020,USR0001,USR0001_CRD,Card APR Charge,-159.01,2025-08-13,Finance > Interest,debit,False,False
USR0001_INC_3_021,USR0001,USR0001_CHK,Acme Corp Payroll,5317.87,2025-08-28,Income > Payroll,credit,False,True
USR0001_SUB_3_01,USR0001,USR0001_CRD,Peloton,-278.56,2025-08-22,Sports and Fitness > Gym,debit,True,False
USR0001_SUB_3_02,USR0001,USR0001_CRD,iCloud Storage,-74.28,2025-08-22,Utilities > Internet,debit,True,False
USR0001_EXP_3_001,USR0001,USR0001_CHK,Equinox,-1037.41,2025-08-25,Sports and Fitness > Gym,debit,False,False
USR0001_EXP_3_002,USR0001,USR0001_CRD,Whole Foods,-576.32,2025-09-07,Food and Drink > Groceries,debit,False,False
USR0001_EXP_3_003,USR0001,USR0001_CHK,Soho House,-806.53,2025-09-03,Entertainment > Nightlife,debit,False,False
USR0001_EXP_3_004,USR0001,USR0001_CRD,Target,-421.39,2025-08-28,Shops > Retail,debit,False,False
USR0001_EXP_3_005,USR0001,USR0001_CRD,Lyft,-127.24,2025-09-05,Travel > Ride Share,debit,False,False
USR0001_EXP_3_006,USR0001,USR0001_CRD,Delta Airlines,-1243.33,2025-08-24,Travel > Airlines,debit,False,False
USR0001_EXP_3_007,USR0001,USR0001_CRD,Equinox,-833.21,2025-09-11,Sports and Fitness > Gym,debit,False,False
USR0001_INT_3_031,USR0001,USR0001_CRD,Card APR Charge,-159.01,2025-09-03,Finance > Interest,debit,False,False
USR0001_INC_4_032,USR0001,USR0001_CHK,Monarch Labs Consulting,5367.55,2025-10-04,Income > Payroll,credit,False,True
USR0001_SUB_4_01,USR0001,USR0001_CRD,Peloton,-278.56,2025-10-06,Sports and Fitness > Gym,debit,True,False
USR0001_SUB_4_02,USR0001,USR0001_CRD,iCloud Storage,-74.28,2025-10-06,Utilities > Internet,debit,True,False
USR0001_EXP_4_001,USR0001,USR0001_CRD,Soho House,-852.79,2025-10-03,Entertainment > Nightlife,debit,False,False
USR0001_EXP_4_002,USR0001,USR0001_CRD,Comcast,-530.32,2025-10-13,Utilities > Cable,debit,False,False
USR0001_EXP_4_003,USR0001,USR0001_CRD,Whole Foods,-708.12,2025-10-06,Food and Drink > Groceries,debit,False,False
USR0001_EXP_4_004,USR0001,USR0001_CRD,Lyft,-122.57,2025-09-23,Travel > Ride Share,debit,False,False
USR0001_EXP_4_005,USR0001,USR0001_CRD,Wayfair,-1313.2,2025-10-10,Home > Furniture,debit,False,False
USR0001_EXP_4_006,USR0001,USR0001_CRD,Target,-387.26,2025-10-01,Shops > Retail,debit,False,False
USR0001_EXP_4_007,USR0001,USR0001_CRD,Delta Airlines,-1569.11,2025-10-14,Travel > Airlines,debit,False,False
USR0001_INT_4_042,USR0001,USR0001_CRD,Card APR Charge,-159.01,2025-10-06,Finance > Interest,debit,False,False
USR0001_INC_5_043,USR0001,USR0001_CHK,AngelList Advisory,5773.08,2025-10-20,Income > Payroll,credit,False,True
USR0001_SUB_5_01,USR0001,USR0001_CRD,Peloton,-278.56,2025-10-23,Sports and Fitness > Gym,debit,True,False
USR0001_SUB_5_02,USR0001,USR0001_CRD,iCloud Storage,-74.28,2025-10-23,Utilities > Internet,debit,True,False
USR0001_EXP_5_001,USR0001,USR0001_CRD,Comcast,-733.13,2025-11-13,Utilities > Cable,debit,False,False
USR0001_EXP_5_002,USR0001,USR0001_CRD,Comcast,-743.45,2025-11-10,Utilities > Cable,debit,False,False
USR0001_EXP_5_003,USR0001,USR0001_CRD,Shell Gas,-365.38,2025-10-28,Travel > Gas Stations,debit,False,False
USR0001_EXP_5_004,USR0001,USR0001_CHK,Whole Foods,-799.44,2025-10-26,Food and Drink > Groceries,debit,False,False
USR0001_EXP_5_005,USR0001,USR0001_CHK,Comcast,-830.95,2025-11-11,Utilities > Cable,debit,False,False
USR0001_EXP_5_006,USR0001,USR0001_CRD,Soho House,-927.99,2025-11-10,Entertainment > Nightlife,debit,False,False
USR0001_EXP_5_007,USR0001,USR0001_CRD,Whole Foods,-828.5,2025-11-05,Food and Drink > Groceries,debit,False,False
USR0001_INT_5_053,USR0001,USR0001_CRD,Card APR Charge,-159.01,2025-11-03,Finance > Interest,debit,False,False
USR0001_INC_6_054,USR0001,USR0001_CHK,Stripe Atlas Distributions,4768.98,2025-11-19,Income > Payroll,credit,False,True
USR0001_SUB_6_01,USR0001,USR0001_CRD,Peloton,-278.56,2025-12-07,Sports and Fitness > Gym,debit,True,False
USR0001_SUB_6_02,USR0001,USR0001_CRD,iCloud Storage,-74.28,2025-12-07,Utilities > Internet,debit,True,False
USR0001_EXP_6_001,USR0001,USR0001_CRD,Delta Airlines,-817.96,2025-11-23,Travel > Airlines,debit,False,False
USR0001_EXP_6_002,USR0001,USR0001_CHK,Delta Airlines,-830.66,2025-12-07,Travel > Airlines,debit,False,False
USR0001_EXP_6_003,USR0001,USR0001_CHK,Whole Foods,-337.8,2025-12-02,Food and Drink > Groceries,debit,False,False
USR0001_EXP_6_004,USR0001,USR0001_CRD,Wayfair,-573.78,2025-12-02,Home > Furniture,debit,False,False
USR0001_EXP_6_005,USR0001,USR0001_CRD,Delta Airlines,-744.47,2025-12-12,Travel > Airlines,debit,False,False
USR0001_EXP_6_006,USR0001,USR0001_CHK,Soho House,-379.34,2025-12-09,Entertainment > Nightlife,debit,False,False
USR0001_EXP_6_007,USR0001,USR0001_CRD,Comcast,-278.16,2025-11-29,Utilities > Cable,debit,False,False
USR0001_EXP_6_008,USR0001,USR0001_CRD,Whole Foods,-371.31,2025-11-25,Food and Drink > Groceries,debit,False,False
USR0001_EXP_6_009,USR0001,USR0001_CRD,Delta Airlines,-706.15,2025-12-02,Travel > Airlines,debit,False,False
USR0001_INT_6_066,USR0001,USR0001_CRD,Card APR Charge,-159.01,2025-11-24,Finance > Interest,debit,False,False
USR0002_INC_1_001,USR0002,USR0002_CHK,AngelList Advisory,2431.44,2025-06-23,Income > Payroll,credit,False,True
USR0002_INC_1_002,USR0002,USR0002_CHK,Upwork Payouts,1070.16,2025-07-04,Income > Payroll,credit,False,True
USR0002_SUB_1_01,USR0002,USR0002_CRD,Amazon Subscribe & Save,-83.1,2025-06-22,Shops > Retail,debit,True,False
USR0002_SUB_1_02,USR0002,USR0002_CRD,Netflix,-47.49,2025-06-22,Entertainment > Video Streaming,debit,True,False
